Provinsi;Tahun;Bulan;Kunjungan
JAWA BARAT;2021;5;9062176
JAWA TENGAH;2021;5;12250918
DI YOGYAKARTA;2021;5;1754976
JAWA TIMUR;2021;5;13144701
BANTEN;2021;5;3435666
BALI;2021;5;873863
NUSA TENGGARA BARAT;2021;5;313718
NUSA TENGGARA TIMUR;2021;5;180257
KALIMANTAN BARAT;2021;5;177093
KALIMANTAN TENGAH;2021;5;160403
KALIMANTAN SELATAN;2021;5;389760
KALIMANTAN TIMUR;2021;5;211241
KALIMANTAN UTARA;2021;5;20610
SULAWESI UTARA;2021;5;372363
SULAWESI TENGAH;2021;5;187679
SULAWESI SELATAN;2021;5;937945
SULAWESI TENGGARA;2021;5;237647
GORONTALO;2021;5;117211
SULAWESI BARAT;2021;5;88146
MALUKU;2021;5;50091
MALUKU UTARA;2021;5;57892
PAPUA BARAT;2021;5;31565
PAPUA BARAT DAYA;2021;5;0
PAPUA;2021;5;56054
PAPUA SELATAN;2021;5;0
PAPUA TENGAH;2021;5;0
PAPUA PEGUNUNGAN;2021;5;0
INDONESIA;2021;5;53772233
ACEH;2021;6;457822
SUMATERA UTARA;2021;6;1571487
SUMATERA BARAT;2021;6;894952
RIAU;2021;6;521519
JAMBI;2021;6;255590
SUMATERA SELATAN;2021;6;574663
BENGKULU;2021;6;159098
LAMPUNG;2021;6;791886
KEP. BANGKA BELITUNG;2021;6;93222
KEP. RIAU;2021;6;65954
DKI JAKARTA;2021;6;3020770
JAWA BARAT;2021;6;7167804
JAWA TENGAH;2021;6;10559913
DI YOGYAKARTA;2021;6;1784864
JAWA TIMUR;2021;6;14179950
BANTEN;2021;6;2684415
BALI;2021;6;942465
NUSA TENGGARA BARAT;2021;6;311343
NUSA TENGGARA TIMUR;2021;6;246405
KALIMANTAN BARAT;2021;6;191558
KALIMANTAN TENGAH;2021;6;187859
KALIMANTAN SELATAN;2021;6;381521
KALIMANTAN TIMUR;2021;6;233957
KALIMANTAN UTARA;2021;6;24856
SULAWESI UTARA;2021;6;344017
SULAWESI TENGAH;2021;6;183102
SULAWESI SELATAN;2021;6;928134
SULAWESI TENGGARA;2021;6;212043
GORONTALO;2021;6;100327
SULAWESI BARAT;2021;6;91217
MALUKU;2021;6;55585
MALUKU UTARA;2021;6;57866
PAPUA BARAT;2021;6;42558
PAPUA BARAT DAYA;2021;6;0
PAPUA;2021;6;86681
PAPUA SELATAN;2021;6;0
PAPUA TENGAH;2021;6;0
PAPUA PEGUNUNGAN;2021;6;0
INDONESIA;2021;6;49405403
ACEH;2021;7;445355
SUMATERA UTARA;2021;7;1127318
SUMATERA BARAT;2021;7;664848
RIAU;2021;7;486997
JAMBI;2021;7;240188
SUMATERA SELATAN;2021;7;499604
BENGKULU;2021;7;126188
LAMPUNG;2021;7;564563
KEP. BANGKA BELITUNG;2021;7;73819
KEP. RIAU;2021;7;36721
DKI JAKARTA;2021;7;1516119
JAWA BARAT;2021;7;4073984
JAWA TENGAH;2021;7;8735768
DI YOGYAKARTA;2021;7;920309
JAWA TIMUR;2021;7;9773674
BANTEN;2021;7;1859367
BALI;2021;7;441796
NUSA TENGGARA BARAT;2021;7;224399
NUSA TENGGARA TIMUR;2021;7;205857
KALIMANTAN BARAT;2021;7;158340
KALIMANTAN TENGAH;2021;7;136067
KALIMANTAN SELATAN;2021;7;346333
KALIMANTAN TIMUR;2021;7;137412
KALIMANTAN UTARA;2021;7;18927
SULAWESI UTARA;2021;7;237853
SULAWESI TENGAH;2021;7;155542
